OSD ID,Full Translation,OSD Product
COM_RESOURCE_TEXT_SMART_SECURITY,N,COMMON
TV_SID_MONITORING_RESULTS,N,TV/MFM
TV_SID_SECURITY_MIX_MALICIOUS_FILE_BLOCKED_FILE,N,TV/MFM
TV_SID_MIX_MALICIOUS_NETWROK_BLOCKED,N,TV/MFM
TV_SID_MIX_MALICIOUS_PROCESS_BLOCKED,N,TV/MFM
TV_SID_SHOW_LIST,N,TV/MFM
COM_SID_OK,N,COMMON
COM_SID_YES,N,COMMON
COM_SID_NO,N,COMMON
COM_SID_CLOSE,N,COMMON
COM_SID_CANCEL,N,COMMON
TV_SID_SEND_MALWARE_FILE_SERVER_TO_HELP_IMPROVE_SAMRT_TV,N,TV/MFM
COM_SID_ERROR_KR_ERROR,N,COMMON
TV_SID_NETWORK_ERROR_OCCURRED_TRY_AGAIN,N,TV/MFM
COM_SID_ALWAYS,N,COMMON
COM_SID_ONCE,N,COMMON
WALL_SID_SEND_MALWARE_FILE_SERVER_TO_HELP_IMPROVE_SAMRT_TV,N,TV/MFM
TV_SID_MIX_BLOCKED_ITEMS,,TV/MFM
